la_code,la_name,lts_count,adults_18plus,adults_65plus,share_65plus,assess_count,region,imd_score,vacancy_rate,ascof_1a,lts_rate,assess_rate,observed_expected
E06000046,Isle of Wight,2215,118309,42743,0.36128274264848825,920.0,South East,23.294,8.55116809488594,19.5,1872.2159768064982,777.6246946555207,1.0533951202288128
E06000053,Isles of Scilly,15,2047,596,0.29115779189057156,10.0,South West,12.005,,,732.7796775769418,488.51978505129455,
E09000019,Islington,2645,187400,21630,0.11542155816435432,2840.0,London,27.535,8.61003398759475,18.8,1411.419423692636,1515.4749199573105,0.9298382174568122
E09000020,Kensington and Chelsea,1730,121963,22314,0.1829571263415954,865.0,London,21.526,4.54287653438748,18.3,1418.4629764764725,709.2314882382362,0.9545930331284456
E10000016,Kent,16265,1283639,335964,0.26172779106898436,22630.0,South East,19.538,6.52874341616264,19.4,1267.1007970309408,1762.956719139883,0.8760919339638165
E06000010,"Kingston upon Hull, City of",3575,213022,42699,0.20044408558740412,3745.0,Yorkshire and The Humber,40.564,3.4691149232410403,19.1,1678.2304175155616,1758.0343814253927,0.9043182932868286
E09000021,Kingston upon Thames,1640,135571,25926,0.19123558873210347,1465.0,London,11.381,8.02849038410328,19.0,1209.698239298965,1080.614585715234,0.9673005487218892
E08000034,Kirklees,4825,348025,80976,0.23267294016234466,2825.0,Yorkshire and The Humber,25.151,3.657521654465,18.6,1386.3946555563537,811.7232957402485,0.9486934839981004
E08000011,Knowsley,2720,126526,28160,0.22256295148823166,2185.0,North West,43.006,8.02426020018608,19.4,2149.755781420419,1726.9177876483886,0.9672644766543725
E09000022,Lambeth,3690,265466,30014,0.1130615596724251,1380.0,London,25.422,4.047751256802281,18.6,1390.0085133312741,519.8405822214521,0.9582270903443405
E10000017,Lancashire,17725,1033522,272840,0.2639905101197652,18800.0,North West,23.443,7.138597011632861,18.9,1715.0094531127543,1819.0227203678296,1.045159370675355
E08000035,Leeds,8910,668950,131845,0.197092458330219,7315.0,Yorkshire and The Humber,27.301,6.37103177520445,19.5,1331.9381119665147,1093.504746244114,0.9178422256398745
E06000016,Leicester,5390,297585,46623,0.15667120318564443,2765.0,East Midlands,30.877,7.461187849663969,18.6,1811.2472066804442,929.146294336072,1.197519764938477
E10000018,Leicestershire,7505,598134,157349,0.263066470055205,6885.0,East Midlands,12.33,5.87167893844934,18.6,1254.7355609278188,1151.079858359498,1.0099440323866755
E09000023,Lewisham,3210,239203,31107,0.13004435563099126,1215.0,London,26.661,5.03165462651952,18.5,1341.9564135901305,507.93677336822697,0.8829723179376403
E10000019,Lincolnshire,8755,641548,190608,0.2971063739579891,12700.0,East Midlands,20.29,5.93648160504633,18.9,1364.6679593732658,1979.5868742479129,0.9060204198099019
E08000012,Liverpool,7525,411159,78032,0.18978546012613126,5710.0,North West,42.412,8.21187664964435,19.5,1830.192212744948,1388.7571474782262,0.8704114064038792
E06000032,Luton,2645,176810,27193,0.1537978621118715,1725.0,East of England,25.908,11.24896951762838,18.4,1495.9561110796901,975.6235507041457,1.0251174263928304
E08000003,Manchester,8180,457839,55094,0.12033487754428959,4030.0,North West,40.005,6.42525293397191,19.0,1786.6542605588427,880.2220868034395,0.9775215338748444
E06000035,Medway,3025,223881,48069,0.21470781352593565,5505.0,South East,23.936,5.41709472393553,18.8,1351.1642345710443,2458.8955739879666,0.9195072085927701
E09000024,Merton,1760,171340,28890,0.1686121162600677,2020.0,London,14.649,8.65791245913161,19.0,1027.1973853157465,1178.9424536010272,0.7973813765526154
E06000002,Middlesbrough,3425,120544,25981,0.21553125829572603,1905.0,North East,40.46,3.23732584375932,19.2,2841.2861693655427,1580.3358109901778,1.3239265075754312
E06000042,Milton Keynes,2970,231315,43505,0.18807686488122258,2350.0,South East,17.98,6.81267555699238,19.0,1283.963426496336,1015.9306573287507,1.0097285598083603
E08000021,Newcastle upon Tyne,3855,259399,47404,0.18274550017540545,1460.0,North East,29.79,4.61381366893683,19.4,1486.127548679833,562.8394866595476,0.8799265112114925
E09000025,Newham,4160,290115,28208,0.0972304086310601,2730.0,London,29.577,7.36276167028342,18.5,1433.9141374971994,941.0061527325372,0.9335847712600396
E10000020,Norfolk,12745,768529,234739,0.30543935232112257,5375.0,East of England,21.183,6.7886915283447,19.1,1658.3629244960175,699.3880517195837,1.011353565895982
E06000012,North East Lincolnshire,2110,126389,34590,0.273678880282303,1235.0,Yorkshire and The Humber,31.335,5.6499977188144594,19.1,1669.449081803005,977.1419981169247,0.9629483209398711
E06000013,North Lincolnshire,1875,136661,39266,0.28732410856059887,1925.0,Yorkshire and The Humber,22.096,3.2494559645694996,19.5,1372.0081076532442,1408.5949905239975,0.9220350925573683
E06000061,North Northamptonshire,3840,290758,68847,0.23678454247174627,5475.0,East Midlands,18.605,6.410391118629789,19.3,1320.685931255546,1883.0092379229463,0.9814970461386117
E06000024,North Somerset,2575,180218,53950,0.2993596644064411,1975.0,South West,15.825,4.73924285354627,19.4,1428.8250896136901,1095.8949716454517,1.0298461389543803
E08000022,North Tyneside,3250,172762,45522,0.26349544460008567,3835.0,North East,22.279,6.18458301931422,18.4,1881.2007270117272,2219.816857873838,1.144021597153284
E06000065,North Yorkshire,6990,519549,165203,0.31797385809615647,8440.0,Yorkshire and The Humber,14.762,6.853407220418769,19.3,1345.3976429557174,1624.48585215254,0.9895459385363422
E06000057,Northumberland,5425,272364,88198,0.32382400023497965,3940.0,North East,22.079,5.20418414325323,19.1,1991.8197706011074,1446.5935292476245,1.1206209983080595
E06000018,Nottingham,5015,262363,39162,0.14926647431230775,2175.0,East Midlands,34.891,10.91245513548108,18.5,1911.4737977534942,829.0040897535096,1.1828991005743563
E10000024,Nottinghamshire,9600,685441,184642,0.26937694126846806,15575.0,East Midlands,18.999,8.06124974247682,18.9,1400.5581807916365,2272.259756857264,0.9872722951002236
E08000004,Oldham,2895,187491,39562,0.21100746169149454,1210.0,North West,33.155,3.93489977968089,18.3,1544.0741155575467,645.3643108202527,0.8482335494176779
E10000025,Oxfordshire,6975,606571,139999,0.23080397842956554,6705.0,South East,11.656,8.19937842321147,17.8,1149.9066061516294,1105.3940923651146,0.9572294754660622
E06000031,Peterborough,2270,166034,32168,0.19374345013671898,2865.0,East of England,27.821,9.034991094359961,19.2,1367.1898526807763,1725.5501885156052,0.8580230878184483
E06000026,Plymouth,3650,219954,51339,0.23340789437791537,2570.0,South West,26.619,6.4063584103626905,19.1,1659.4378824663338,1168.4261254625967,1.0719606205578363
E06000044,Portsmouth,2080,171265,31960,0.18661139170291655,1040.0,South East,26.899,4.30156364436671,18.4,1214.4921612705457,607.2460806352728,0.8139473815121708
E06000038,Reading,1900,143944,22227,0.15441421663980437,1685.0,South East,19.619,5.66004014073352,19.2,1319.9577613516367,1170.5941199355304,1.0554299441816488
E09000026,Redbridge,3100,243060,40364,0.16606599193614746,3180.0,London,17.203,7.383893881128981,18.7,1275.4052497325763,1308.3189335966429,0.9488731217723086
E06000003,Redcar and Cleveland,2285,111729,33484,0.2996894270959196,2810.0,North East,29.792,6.13851544172786,19.4,2045.127048483384,2515.0140071064807,1.0313599982700394
E09000027,Richmond upon Thames,1695,152640,33386,0.21872379454926624,2335.0,London,9.425,11.807006576814869,19.6,1110.4559748427673,1529.7431865828091,0.8841223209164223
E08000005,Rochdale,3160,177474,38570,0.21732760855111172,2955.0,North West,34.415,2.12173606024033,18.8,1780.5425020002929,1665.0326244971095,0.948835701445251
E08000018,Rotherham,3665,217074,54357,0.25040769507172667,3930.0,Yorkshire and The Humber,29.55,3.20771727709855,19.1,1688.3643365856803,1810.4425219049726,1.0405858664003944
E06000017,Rutland,355,33431,10949,0.3275103945439861,750.0,East Midlands,8.381,9.27165800415935,20.5,1061.8886662080106,2243.4267595943884,0.8396448925500323
E08000006,Salford,3775,230726,36944,0.16012066260412783,4025.0,North West,34.21,8.50497277689317,18.9,1636.1398368627722,1744.4934684430882,0.9416924715285067
E08000028,Sandwell,4005,265267,51241,0.19316763864332917,5225.0,West Midlands,34.884,6.6468526239083,19.3,1509.7995604428745,1969.713533911116,0.9076231876111017
E08000014,Sefton,4425,231521,67863,0.2931181188747457,2335.0,North West,27.035,7.21529198337517,19.1,1911.2737073526807,1008.5478207160473,1.047941823688178
E08000019,Sheffield,8345,466214,97761,0.20969125766279004,3130.0,Yorkshire and The Humber,27.06,4.77714106651017,18.7,1789.9505377358894,671.3655102592372,1.2192700524778857
E06000051,Shropshire,3840,272302,87796,0.3224214291485189,4365.0,West Midlands,17.153,5.7465250725646,19.3,1410.1989702609603,1602.999610726326,0.9850416551584195
E06000039,Slough,1650,120673,16348,0.1354735524931012,1180.0,South East,22.965,9.20195771013349,17.4,1367.3315488966048,977.849228907875,1.0523040673106845
E08000029,Solihull,2545,172013,47025,0.273380500311023,2430.0,West Midlands,17.37,4.59100105464397,19.4,1479.5393371431228,1412.6839250521764,1.101431288403404
E06000066,Somerset,7535,475304,149580,0.31470385269217177,5110.0,South West,18.553,7.67012867775157,19.2,1585.3011967077912,1075.1014087825897,1.0620345102520408
E06000025,South Gloucestershire,3430,243538,57102,0.2344685428967964,2675.0,South West,11.66,7.573016050021909,19.4,1408.404437911127,1098.391216155179,1.194608040514147
E08000023,South Tyneside,2150,120880,32539,0.2691843150231635,2240.0,North East,31.509,4.1495913544564,19.5,1778.6234281932495,1853.0774321641297,0.9073350564858905
E06000045,Southampton,2570,208483,35555,0.1705414829986138,2310.0,South East,26.876,6.9629299473703,19.5,1232.714417962136,1108.004009919274,0.8431558548986617
E06000033,Southend-on-Sea,2500,145645,35809,0.2458649455868722,2515.0,East of England,22.375,7.646686703541509,19.3,1716.5024545985102,1726.8014693261014,1.1100461026119819
E09000028,Southwark,4195,259160,28682,0.11067294335545609,1875.0,London,25.811,6.71193088580935,18.3,1618.6911560425992,723.4912795184442,1.1093718388719847
E08000013,St. Helens,3035,151253,38821,0.2566626777650691,1735.0,North West,31.518,5.2890535032467305,19.2,2006.5717704772799,1147.084685923585,1.066370568571091
E10000028,Staffordshire,10800,732349,204911,0.27979965835960724,5750.0,West Midlands,16.567,9.525564738150049,19.2,1474.706731353494,785.1447875261657,1.1004437073765045
E08000007,Stockport,3865,239019,61235,0.2561930223120338,2550.0,North West,20.826,5.56601677789739,18.9,1617.0262615105912,1066.8607934934043,1.0462026053535942
E06000004,Stockton-on-Tees,2650,161721,40307,0.2492378849994744,3465.0,North East,25.79,6.24491020606389,19.1,1638.6245447406334,2142.5788858589794,0.9525765057722354
E06000021,Stoke-on-Trent,3615,207905,46030,0.22139919674851494,2820.0,West Midlands,34.504,6.7651167371173795,19.6,1738.7749212380656,1356.3887352396528,1.0127838382541137
